,labels,text,clf
0,O O O O O O B_ORG I_ORG O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O,"В понедельник 28 июня у здания мэрии Москвы на Тверской площади состоялась очередная несанкционированная акция протеста « День гнева » , в этот раз направленная , главным образом , против политики московских и подмосковных властей",False
1,O O O O O O O O O O O B_LOC B_PER I_PER O O O O O O O O O O O O O O O O O O O O B_LOC O O O O O O O O B_LOC O O O O O B_ORG O O O B_LOC O B_PER I_PER O O,"Среди требований , выдвигаемых организаторами акции : « немедленная отставка мэра Москвы Юрия Лужкова , расследование итогов его деятельности » , « созыв московского общественного форума для обсуждения путей реформирования основных сфер жизнедеятельности в Москве » , « восстановление прямых выборов глав регионов России » , « роспуск нелегитимной Мосгордумы » , отставка подмосковного губернатора Бориса Громова и др",False
2,O O O O O O O O O O O O O O O O O O O O B_PER I_PER,"Участникам акции предлагалось принести с собой лист бумаги или кусок ткани чёрного цвета , символизирующие « чёрную метку » для Юрия Лужкова",False
3,O O O O O O O O O O O O O O O O O,"Начало акции было намечено на 19 часов ; подчёркивалось , что она состоится несмотря на запрет властей",True
4,O O O O O O O O O O O O O B_LOC I_LOC I_LOC O O O O O O O O O O O,"Освещающие акцию блоггеры сообщили , что автобусы с милицией стали занимать площадь у памятника Юрию Долгорукому ещё с 15 часов дня , центральная часть площади была огорожена",False
5,O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"Ко времени начала акции вокруг огороженной территории собралось множество журналистов и прохожих , по мере прибытия самих участников акции милиция начала планомерно их задерживать и заталкивать в автобусы",True
6,O O O O O O O O O O O O O,"Всего , по сообщениям блоггеров и СМИ , было задержано более 30 человек",True
7,O O B_PER O O O O O O O B_ORG I_ORG I_ORG I_ORG O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG B_PER I_PER O O O B_PER I_PER O O B_ORG I_ORG I_ORG I_ORG I_ORG B_PER I_PER,"Пользователь ЖЖ zyalt сообщает , что среди задержанных оказался депутат муниципального собрания района Отрадное , сопредседатель московского отделения движения « Солидарность » Михаил Вельмакин , известный правозащитник Лев Пономарев , координатор движения « Левый фронт » Сергей Удальцов",False
8,O O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG O B_ORG O O B_ORG I_ORG I_ORG I_ORG I_ORG O O B_ORG I_ORG O O B_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG I_ORG I_ORG O O B_ORG I_ORG I_ORG I_ORG O,"Организаторами акции выступили движение « За права человека » , Союз координационных советов ( СКС ) , институт « Коллективное действие » , « Жилищная солидарность » , Движение общежитий Москвы , Движение в защиту Химкинского леса , движение « Московский совет » , « Координационный совет пострадавших соинвесторов »",False
9,O O O O O O O O B_PER I_PER O O O O O O O O O O O O O O,"Конец света , который предрекал проповедник - евангелист Герольд Кемпинг утром в 06.00 по московскому времени 21 мая 2011 года так и не наступил",False
10,O O O O O O O,Это далеко не первое несбывшееся предсказание апокалипсиса,True
11,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"Поначалу на него практически не обратили внимания , однако , с приближением этой даты , немало СМИ в поисках сюжета , останавливались на этом , создавая прекрасную бесплатную PR-компанию для горе-пророка",True
12,O O O O B_PER I_PER O O O O O O O O O O O O O O O O O O O O,"Вполне вероятно , что Герольд Кемпинг объяснит это какой-либо неточностью и перенесет катастрофу на некоторое время вперёд , и по прежнему будет оставаться в центре внимания",False
13,O O O O O O O O O O O B_LOC O O O B_PER I_PER,"Так , согласно его пророчествам , 6 сентября 1994 года на Землю должен был опуститься Иисус Христос",False
14,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"Следующее подобное мероприятие , по прогнозам майя , ожидается 21 декабря 2012 года , однако не следует забывать , что конец этой цивилизации наступил значительно раньше , и это отчего-то не отображено в их наследии , поэтому и достоверность подобного прорицания далеко не очевидна",True
15,O O O O O O O O O O O O,"Если - же и майя ошиблись , то расслабляться всё-равно не стоит",True
16,O O O O O O O O O O O O B_LOC O O O,Апокалиптических теорий ещё достаточно : * 2021 год — инверсия магнитного поля Земли уничтожит часть человечества,False
17,O O O O O O B_PER I_PER O O O O O O O O B_PER O O O O,"* 2060 год — Согласно расчётам Исаака Ньютона , сделанным в 1704 году по библейской книге Даниила станет последним для людей",False
18,O O O O O O B_LOC O O O O O O O O O O O B_PER I_PER O B_PER O B_PER I_PER,"* 2242 год — конец эпохи Солнца согласно теории смены планетных эпох , которая была изложена в работах ибн Эзра , Авраама и Абу Машара",False
19,O O O O O O B_PER,* 2892 год — апокалипсис обещанный Авелем,False
20,O O O O O O O O B_PER,* 3797 год — кончину миру предрёк сам Нострадамус,False
